feature,importance
event_data_prop_0db6d71d_duration_mean,17.1
event_data_prop_b5053438_duration_std,17.000000000000004
event_data_prop_1f19558b_duration_mean,17.0
event_data_prop_2dc29e21_duration_mean,17.0
event_data_prop_5f0eb72c_duration_std,16.9
event_data_prop_c58186bf_duration_sum,16.9
assessment_previous_game_time_max,16.8
event_data_prop_ca11f653_misses_std,16.8
event_data_prop_6088b756_duration_std,16.799999999999997
event_data_prop_8d7e386c_total_duration_std,16.700000000000003
event_data_prop_bbfe0445_duration_mean,16.7
event_data_prop_c277e121_total_duration_std,16.6
event_data_prop_4a4c3d21_duration_mean,16.6
cnt_Assessment_sum,16.6
event_data_prop_04df9b66_total_duration_max,16.6
event_data_prop_499edb7c_duration_mean,16.5
event_data_prop_30614231_duration_mean,16.4
event_data_prop_49ed92e9_total_duration_std,16.3
cnt_event_code_4220_sum,16.3
event_data_prop_363d3849_total_duration_mean,16.200000000000003
event_data_prop_bd701df8_duration_mean,16.200000000000003
event_data_prop_c1cac9a2_duration_mean,16.2
event_data_prop_b2dba42b_total_duration_std,16.2
event_data_prop_46cd75b4_duration_mean,16.1
event_data_prop_c189aaf2_duration_mean,16.1
event_data_prop_47026d5f_total_duration_mean,16.099999999999998
assessment_previous_game_time_std,16.000000000000004
event_data_prop_0db6d71d_duration_std,16.0
event_data_prop_99abe2bb_duration_mean,15.9
event_data_prop_d88ca108_duration_mean,15.8
event_data_prop_df4940d3_duration_std,15.8
event_data_prop_c7128948_duration_mean,15.8
event_data_prop_cdd22e43_duration_mean,15.799999999999999
event_data_prop_9d4e7b25_duration_mean,15.700000000000001
event_data_prop_d3f1e122_duration_mean,15.700000000000001
event_data_prop_923afab1_total_duration_std,15.7
event_data_prop_0d1da71f_duration_mean,15.7
event_data_prop_c7fe2a55_total_duration_mean,15.7
event_data_prop_1bb5fbdb_duration_std,15.6
event_data_prop_5f0eb72c_duration_sum,15.6
event_data_prop_9e4c8c7b_duration_std,15.399999999999999
event_data_prop_363d3849_total_duration_std,15.399999999999999
event_data_prop_71e712d8_duration_std,15.3
event_data_prop_83c6c409_duration_max,15.3
cnt_event_code_3110_sum,15.299999999999999
event_data_prop_cb6010f8_duration_std,15.200000000000001
event_data_prop_022b4259_duration_mean,15.2
event_data_prop_16dffff1_misses_mean,15.199999999999998
event_data_prop_6c930e6e_duration_std,15.100000000000001
event_data_prop_7f0836bf_duration_mean,15.100000000000001
event_data_prop_b88f38da_duration_std,15.099999999999998
event_data_prop_f28c589a_total_duration_mean,15.000000000000002
event_data_prop_ecaab346_duration_mean,14.9
cnt_Crystal Caves - Level 2_sum,14.9
event_data_prop_d45ed6a1_duration_std,14.800000000000002
event_data_prop_df4fe8b6_duration_mean,14.8
event_data_prop_8fee50e2_duration_max,14.8
event_data_prop_499edb7c_duration_std,14.8
event_data_prop_a52b92d5_duration_max,14.8
accuracy_group_2,14.8
